Timestamp,"Укажите, пожалуйста, Ваш пол","Укажите, пожалуйста, Ваш возраст",Возрастная группа,"Пожалуйста, укажите сведения о вашем образовании: ступень (например, среднее, среднее специальное, неоконченное высшее, высшее, ученая степень) и количество лет (количество лет школьного образования + следующая ступень).
Например: высшее, 15",В каком сезоне у Вас день рождения?,"Правда ли, что некоторые из студентов разговаривают?","Правда ли, что девушка работает за ноутбуком?","Правда ли, что 5 студентов присутствуют на докладе?","Правда ли, что некоторые из участников хора поют?","Правда ли, что 2 человека стоят в очереди?","Правда ли, что в кружке налит чай?","Правда ли, что девушка начала есть орехи?","Правда ли, что к лифту идут две девушки?","Правда ли, что девушка начала пить воду?","Можно ли описать ситуацию как ""Некоторые из студентов разговаривают""?","Можно ли описать ситуацию как ""Девушка работает за компьютером""?","Можно ли описать ситуацию как ""Пятеро студентов присутствуют на докладе""?","Можно ли описать ситуацию как ""Некоторые из участников хора поют""?","Можно ли описать ситуацию как ""2 человека стоят в очереди""?","Можно ли описать ситуацию как ""В кружке налит чай, его размешивают ложкой""?","Можно ли описать ситуацию как ""Девушка начала есть орехи""?","Можно ли описать ситуацию как ""К лифту идут две девушки""?","Можно ли описать ситуацию как ""Девушка начала пить воду""?"
12/19/2023 20:42:31,Женский,53,35+,дфн,Весна,Правда,Правда,Скорее правда,Правда,Скорее неправда,Правда,Скорее неправда,Правда,Неправда,,,,,,,,,
12/26/2023 14:16:06,Мужской,19,до 21,Неоконченное высшее ,Весна,Скорее правда,Правда,Неправда,Неправда,Неправда,Неправда,Скорее неправда,Неправда,Неправда,,,,,,,,,
12/26/2023 14:20:16,Женский,20,до 21,13,Весна,Правда,Правда,Правда,Правда,Правда,Неправда,Неправда,Неправда,Скорее правда,,,,,,,,,
12/26/2023 14:20:31,Женский,20,до 21,13,Зима,Правда,Правда,Скорее правда,Правда,Скорее правда,Неправда,Правда,Неправда,Правда,,,,,,,,,
12/26/2023 14:29:13,Мужской,45,35+,Высшее,Зима,Правда,Скорее правда,Скорее правда,Правда,Неправда,Скорее неправда,Скорее правда,Неправда,Скорее неправда,,,,,,,,,
12/26/2023 14:29:51,Мужской,64,35+,Среднее специальное 14лет,Осень,,,,,,,,,,Можно,Скорее можно,Можно,Можно,Нельзя,Нельзя,Можно,Нельзя,Скорее можно
12/26/2023 14:30:25,Мужской,51,35+,"Два высших, 18",Осень,,,,,,,,,,Можно,Можно,Нельзя,Скорее нельзя,Нельзя,Нельзя,Скорее можно,Нельзя,Скорее можно
12/26/2023 14:34:17,Женский,35,21-35,"Высшее, 19",Весна,Правда,Правда,Скорее правда,Правда,Правда,Правда,Правда,Неправда,Правда,,,,,,,,,
12/26/2023 14:42:17,Женский,51,35+,"Высшее, 15",Лето,,,,,,,,,,Можно,Скорее можно,Скорее нельзя,Скорее можно,Скорее можно,Скорее нельзя,Нельзя,Скорее нельзя,Скорее можно
12/26/2023 16:00:13,Женский,19,до 21,"высшее, 13",Осень,,,,,,,,,,Скорее нельзя,Можно,Скорее можно,Скорее нельзя,Скорее нельзя,Нельзя,Можно,Нельзя,Скорее нельзя
12/26/2023 16:01:24,Женский,19,до 21,"неоконченное высшее, 12",Лето,,,,,,,,,,Скорее нельзя,Можно,Скорее нельзя,Скорее нельзя,Нельзя,Скорее нельзя,Можно,Нельзя,Можно
12/26/2023 16:12:21,Женский,52,35+,"Высшее, 17",Осень,,,,,,,,,,Скорее нельзя,Можно,Нельзя,Нельзя,Скорее нельзя,Скорее нельзя,Скорее можно,Нельзя,Скорее можно
12/26/2023 16:19:47,Женский,25,21-35,Неоконченное высшее,Зима,Правда,Неправда,Правда,Неправда,Неправда,Скорее неправда,Правда,Неправда,Правда,,,,,,,,,
12/26/2023 18:06:11,Мужской,20,до 21,"высшее, 15",Весна,Неправда,Правда,Неправда,Правда,Неправда,Неправда,Неправда,Неправда,Правда,,,,,,,,,
12/26/2023 18:54:41,Женский,21,21-35,"неоконченное высшее, 14",Лето,,,,,,,,,,Нельзя,Можно,Скорее нельзя,Нельзя,Скорее нельзя,Нельзя,Можно,Нельзя,Скорее нельзя
12/26/2023 20:41:40,Женский,34,21-35,"высшее, 16",Зима,Правда,Правда,Правда,Скорее правда,Неправда,Неправда,Скорее правда,Неправда,Скорее неправда,,,,,,,,,
12/26/2023 21:01:44,Женский,21,21-35,"СПО, 13",Зима,Неправда,Скорее правда,Скорее правда,Правда,Скорее правда,Скорее неправда,Правда,Неправда,Правда,,,,,,,,,
12/26/2023 21:02:06,Женский,20,до 21,"Среднее специальное, 13",Осень,,,,,,,,,,Нельзя,Можно,Нельзя,Нельзя,Нельзя,Скорее нельзя,Нельзя,Нельзя,Нельзя
12/26/2023 21:02:11,Мужской,60,35+,высшее,Осень,,,,,,,,,,Скорее нельзя,Нельзя,Нельзя,Нельзя,Можно,Скорее нельзя,Скорее нельзя,Нельзя,Скорее нельзя
12/26/2023 21:02:14,Женский,50,35+,Высшее,Весна,Правда,Правда,Правда,Скорее правда,Скорее правда,Неправда,Скорее правда,Неправда,Правда,,,,,,,,,
12/26/2023 21:03:20,Женский,15,до 21,"Среднее специальное, 15",Зима,Правда,Правда,Правда,Скорее правда,Правда,Скорее неправда,Правда,Неправда,Скорее правда,,,,,,,,,
12/26/2023 21:03:29,Женский,16,до 21,Среднее профессиональное ,Весна,Правда,Правда,Неправда,Правда,Неправда,Скорее правда,Правда,Неправда,Скорее правда,,,,,,,,,
12/26/2023 21:05:36,Мужской,18,до 21,"Среднее специальное, 13",Осень,,,,,,,,,,Скорее можно,Скорее можно,Нельзя,Нельзя,Нельзя,Нельзя,Скорее можно,Нельзя,Скорее можно
12/26/2023 21:51:05,Женский,48,35+,"Высшее, 16",Весна,Правда,Правда,Неправда,Скорее неправда,Скорее неправда,Неправда,Скорее правда,Скорее неправда,Правда,,,,,,,,,
12/26/2023 22:15:48,Мужской,20,до 21,"неоконченное высшее, 14",Весна,Правда,Скорее правда,Неправда,Правда,Скорее неправда,Скорее правда,Скорее неправда,Неправда,Скорее неправда,,,,,,,,,
12/26/2023 22:16:54,Мужской,25,21-35,высшее спецальное ,Осень,,,,,,,,,,Скорее можно,Скорее нельзя,Нельзя,Скорее можно,Нельзя,Нельзя,Скорее можно,Нельзя,Можно
12/26/2023 22:46:02,Мужской,44,35+,17,Осень,,,,,,,,,,Можно,Можно,Можно,Можно,Можно,Можно,Скорее можно,Нельзя,Можно
12/27/2023 11:31:54,Женский,21,21-35,Неоконченное высшее ,Осень,,,,,,,,,,Скорее можно,Можно,Нельзя,Нельзя,Нельзя,Скорее нельзя,Скорее можно,Скорее нельзя,Скорее можно
12/27/2023 11:34:44,Женский,21,21-35,неоконченное высшее ,Осень,,,,,,,,,,Можно,Скорее можно,Скорее можно,Можно,Можно,Скорее нельзя,Скорее можно,Нельзя,Скорее нельзя
12/27/2023 11:35:54,Женский,21,21-35,"высшее, 15",Лето,,,,,,,,,,Нельзя,Скорее можно,Нельзя,Скорее можно,Скорее нельзя,Скорее нельзя,Скорее нельзя,Нельзя,Скорее нельзя
12/27/2023 11:36:59,Женский,21,21-35,Неоконченное высшее,Лето,,,,,,,,,,Нельзя,Можно,Нельзя,Нельзя,Нельзя,Нельзя,Скорее нельзя,Скорее нельзя,Скорее нельзя
12/27/2023 12:30:32,Мужской,20,до 21,"неоконченное высшее, 13",Лето,,,,,,,,,,Скорее нельзя,Можно,Нельзя,Нельзя,Нельзя,Скорее нельзя,Скорее можно,Нельзя,Скорее нельзя
12/27/2023 12:43:23,Женский,21,21-35,"Неоконченное высшее, 14",Зима,Правда,Скорее правда,Правда,Правда,Правда,Скорее правда,Скорее неправда,Неправда,Скорее неправда,,,,,,,,,
12/27/2023 12:46:46,Женский,21,21-35,"Высшее, 15",Лето,,,,,,,,,,Можно,Скорее можно,Можно,Можно,Скорее нельзя,Скорее можно,Можно,Скорее нельзя,Можно
12/27/2023 13:22:33,Женский,21,21-35,"высшее, 15",Весна,Правда,Скорее неправда,Скорее неправда,Правда,Неправда,Правда,Правда,Неправда,Правда,,,,,,,,,
12/27/2023 14:26:30,Женский,21,21-35,"Неоконченное высшее, 15",Лето,,,,,,,,,,Можно,Скорее можно,Скорее можно,Скорее можно,Скорее можно,Скорее нельзя,Скорее нельзя,Нельзя,Скорее нельзя
12/27/2023 14:27:10,Мужской,19,до 21,"Высшее, 13",Лето,,,,,,,,,,Скорее можно,Скорее можно,Скорее нельзя,Можно,Скорее можно,Скорее нельзя,Нельзя,Скорее нельзя,Скорее нельзя
12/27/2023 14:38:23,Женский,19,до 21,неоконченное высшее 12,Осень,,,,,,,,,,Скорее можно,Можно,Скорее можно,Нельзя,Скорее можно,Можно,Скорее можно,Скорее нельзя,Можно
12/27/2023 14:44:38,Мужской,25,21-35,"высшее, 15",Весна,Правда,Правда,Правда,Правда,Правда,Неправда,Правда,Неправда,Правда,,,,,,,,,
12/27/2023 14:56:04,Мужской,19,до 21,Неоконченное высшее,Весна,Неправда,Правда,Правда,Неправда,Правда,Скорее правда,Скорее правда,Неправда,Правда,,,,,,,,,
12/27/2023 14:57:44,Мужской,23,21-35,"Высшее, 15",Зима,Правда,Правда,Неправда,Неправда,Правда,Скорее неправда,Скорее правда,Неправда,Скорее правда,,,,,,,,,
12/27/2023 14:57:52,Женский,17,до 21,Неоконченной высшее,Зима,Скорее правда,Правда,Скорее неправда,Правда,Правда,Правда,Правда,Неправда,Правда,,,,,,,,,
12/27/2023 14:58:52,Мужской,19,до 21,"Среднее, 11",Весна,Правда,Правда,Правда,Правда,Правда,Скорее неправда,Скорее неправда,Неправда,Скорее правда,,,,,,,,,
12/27/2023 14:59:08,Женский,17,до 21,бакалаврик 1 курс,Зима,Правда,Правда,Правда,Правда,Скорее неправда,Скорее неправда,Правда,Неправда,Правда,,,,,,,,,
12/27/2023 15:01:36,Мужской,20,до 21,"Неоконченное высшее, 13",Зима,Неправда,Неправда,Неправда,Правда,Неправда,Скорее неправда,Правда,Неправда,Скорее правда,,,,,,,,,
12/27/2023 15:02:53,Женский,21,21-35,"неоконченное высшее, 14",Весна,Правда,Правда,Правда,Правда,Правда,Скорее неправда,Правда,Неправда,Скорее правда,,,,,,,,,
12/27/2023 15:03:04,Женский,18,до 21,"Школьное, 11 + неоконченное высшее, 1 ",Зима,Правда,Скорее правда,Правда,Правда,Правда,Неправда,Скорее правда,Неправда,Правда,,,,,,,,,
12/27/2023 15:09:16,Мужской,19,до 21,"Неоконченное высшее, 15",Лето,,,,,,,,,,Скорее нельзя,Можно,Нельзя,Скорее нельзя,Можно,Скорее нельзя,Скорее нельзя,Скорее нельзя,Скорее можно
12/27/2023 15:09:32,Мужской,23,21-35,Чего?,Лето,,,,,,,,,,Нельзя,Нельзя,Можно,Можно,Можно,Можно,Можно,Нельзя,Нельзя
12/27/2023 15:12:11,Женский,21,21-35,"неоконченное высшее, 14",Осень,,,,,,,,,,Можно,Можно,Скорее можно,Можно,Скорее нельзя,Скорее можно,Скорее нельзя,Можно,Скорее можно
12/27/2023 15:13:36,Мужской,30,21-35,"высшее, 24",Зима,Правда,Скорее неправда,Правда,Правда,Правда,Скорее неправда,Скорее правда,Неправда,Скорее правда,,,,,,,,,
12/27/2023 15:13:43,Женский,25,21-35,"неоконченное высшее, 13",Зима,Правда,Скорее правда,Правда,Правда,Правда,Скорее неправда,Правда,Скорее неправда,Скорее правда,,,,,,,,,
12/27/2023 15:22:57,Мужской,20,до 21,"среднее, 13",Осень,,,,,,,,,,Нельзя,Можно,Скорее нельзя,Нельзя,Скорее нельзя,Можно,Можно,Нельзя,Можно
12/27/2023 15:42:47,Мужской,23,21-35,15,Зима,Скорее правда,Скорее правда,Правда,Скорее правда,Скорее неправда,Скорее неправда,Скорее правда,Неправда,Правда,,,,,,,,,
12/27/2023 15:51:27,Женский,18,до 21,"Неоконченное высшее, 12",Осень,,,,,,,,,,Можно,Скорее можно,Скорее можно,Скорее можно,Скорее можно,Скорее нельзя,Скорее нельзя,Нельзя,Скорее можно
12/27/2023 16:19:32,Мужской,19,до 21,Неоконченное высшее 13,Осень,,,,,,,,,,Можно,Можно,Скорее можно,Можно,Скорее можно,Можно,Скорее можно,Скорее нельзя,Скорее можно
12/27/2023 16:20:39,Мужской,19,до 21,"Неоконченное высшее , 13",Весна,Скорее правда,Скорее правда,Правда,Правда,Скорее правда,Неправда,Правда,Неправда,Скорее правда,,,,,,,,,
12/27/2023 16:43:29,Женский,19,до 21,"Неоконченное высшее, 13",Лето,,,,,,,,,,Нельзя,Можно,Нельзя,Нельзя,Нельзя,Нельзя,Нельзя,Нельзя,Скорее нельзя
12/27/2023 16:51:41,Мужской,19,до 21,"среднее, 11",Лето,,,,,,,,,,Скорее можно,Можно,Нельзя,Скорее можно,Нельзя,Скорее можно,Можно,Нельзя,Скорее можно
12/27/2023 16:58:58,Женский,20,до 21,неоконченное высшее,Весна,Скорее неправда,Скорее правда,Скорее правда,Скорее правда,Скорее правда,Скорее неправда,Скорее неправда,Неправда,Скорее правда,,,,,,,,,
12/27/2023 18:08:01,Мужской,20,до 21,"Неоконченное высшее, 13",Лето,,,,,,,,,,Скорее можно,Можно,Скорее можно,Скорее можно,Скорее можно,Можно,Скорее можно,Скорее нельзя,Скорее нельзя
12/27/2023 19:53:56,Женский,21,21-35,"неоконченное высшее, 14.5",Зима,Скорее неправда,Скорее неправда,Скорее правда,Скорее правда,Скорее неправда,Скорее неправда,Скорее неправда,Скорее неправда,Правда,,,,,,,,,
12/27/2023 21:04:02,Женский,48,35+,"Неоконченное высшее, 14",Весна,Правда,Правда,Правда,Правда,Правда,Неправда,Скорее правда,Неправда,Скорее неправда,,,,,,,,,
12/27/2023 21:05:51,Мужской,52,35+,"Высшее, 15",Весна,Скорее правда,Скорее неправда,Правда,Правда,Неправда,Скорее неправда,Скорее неправда,Неправда,Скорее неправда,,,,,,,,,
12/27/2023 22:07:07,Мужской,22,21-35,"Среднее специальное, 13",Осень,,,,,,,,,,Можно,Нельзя,Нельзя,Можно,Нельзя,Скорее можно,Можно,Нельзя,Можно
12/27/2023 23:10:08,Женский,18,до 21,11 лет школьного+сейчас учусь на первом курсе ,Лето,,,,,,,,,,Можно,Скорее можно,Скорее можно,Скорее нельзя,Нельзя,Нельзя,Скорее нельзя,Нельзя,Скорее нельзя
